round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.1,nan,1.0,,170.1688,0.5
2,0.1,2.388155,0.9994,,340.3377,0.5
3,0.1,nan,1.0,,510.5065,0.5
4,0.1,nan,1.0,,680.6754,0.5
5,0.3811,1.692236,0.0762,,850.8442,0.5
6,0.1,nan,1.0,,1021.013,0.5
7,0.3229,1.828254,0.8737,,1191.1819,0.5
8,0.1,nan,1.0,,1361.3507,0.5
9,0.1,nan,1.0,,1531.5195,0.5
10,0.1,nan,1.0,,1701.6884,0.5
11,0.1,nan,1.0,,1871.8572,0.5
12,0.1,nan,1.0,,2042.0261,0.5
13,0.3901,1.689141,0.8059,,2212.1949,0.5
14,0.451,1.452834,0.8475,,2382.3637,0.5
15,0.4899,1.383395,0.8546,,2552.5326,0.5
16,0.5135,1.290395,0.7745,,2722.7014,0.5
17,0.2971,9.652597,0.996,,2892.8703,0.5
18,0.1,nan,1.0,,3063.0391,0.5
19,0.4423,1.485807,0.6334,,3233.2079,0.5
20,0.536,1.278609,0.5252,,3403.3768,0.5
21,0.5305,1.246855,0.6002,,3573.5456,0.5
22,0.5611,1.161486,0.606,,3743.7144,0.5
23,0.1,nan,1.0,,3913.8833,0.5
24,0.5169,1.390965,0.9368,,4084.0521,0.5
25,0.5486,1.229383,0.9354,,4254.221,0.5
26,0.1,nan,1.0,,4424.3898,0.5
27,0.4494,1.533007,0.9592,,4594.5586,0.5
28,0.5317,1.268397,0.964,,4764.7275,0.5
29,0.1,nan,1.0,,4934.8963,0.5
30,0.3169,1.926198,0.9624,,5105.0652,0.5
