round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.098,nan,1.0,,31.4579,0.5
2,0.9766,0.092225,1.0,2,62.9158,0.5
3,0.098,nan,1.0,2,94.3737,0.5
4,0.098,nan,1.0,2,125.8316,0.5
5,0.9806,0.06487,1.0,2,157.2895,0.5
6,0.098,nan,1.0,2,188.7474,0.5
7,0.9886,0.038511,1.0,2,220.2053,0.5
8,0.9402,0.291887,1.0,2,251.6632,0.5
9,0.9131,0.309145,1.0,2,283.1211,0.5
10,0.098,nan,1.0,2,314.579,0.5
11,0.098,nan,1.0,2,346.0369,0.5
12,0.098,nan,1.0,2,377.4948,0.5
13,0.987,0.042703,1.0,2,408.9527,0.5
14,0.9861,0.047703,1.0,2,440.4106,0.5
15,0.9884,0.03657,1.0,2,471.8685,0.5
16,0.9892,0.034768,1.0,2,503.3264,0.5
17,0.814,1.798153,1.0,2,534.7843,0.5
18,0.8936,0.470887,0.9999,2,566.2422,0.5
19,0.9887,0.035953,1.0,2,597.7001,0.5
20,0.9894,0.03749,1.0,2,629.158,0.5
21,0.9907,0.030998,1.0,2,660.6159,0.5
22,0.9899,0.032756,1.0,2,692.0738,0.5
23,0.8216,1.299733,1.0,2,723.5317,0.5
24,0.9881,0.042391,1.0,2,754.9896,0.5
25,0.992,0.028333,1.0,2,786.4475,0.5
26,0.9541,0.213694,1.0,2,817.9054,0.5
27,0.9911,0.030778,1.0,2,849.3633,0.5
28,0.9916,0.027881,1.0,2,880.8212,0.5
29,0.9622,0.18003,1.0,2,912.2791,0.5
30,0.9922,0.029547,1.0,2,943.737,0.5
