round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.0971,2.304003,0.0,,31.4579,0.5
2,0.0995,2.303347,0.0,,62.9158,0.5
3,0.101,2.302639,0.0,,94.3737,0.5
4,0.1042,2.30176,0.0,,125.8316,0.5
5,0.1084,2.300908,0.0,,157.2895,0.5
6,0.1106,2.300247,0.0,,188.7474,0.5
7,0.1127,2.299632,0.0,,220.2053,0.5
8,0.1155,2.298983,0.0,,251.6632,0.5
9,0.1175,2.298257,0.0,,283.1211,0.5
10,0.1197,2.297616,0.0,,314.579,0.5
11,0.1237,2.296903,0.0,,346.0369,0.5
12,0.1262,2.296299,0.0,,377.4948,0.5
13,0.1303,2.295576,0.0,,408.9527,0.5
14,0.1332,2.294899,0.0,,440.4106,0.5
15,0.1332,2.294293,0.0,,471.8685,0.5
16,0.1348,2.29357,0.0,,503.3264,0.5
17,0.1367,2.292789,0.0,,534.7843,0.5
18,0.1395,2.292136,0.0,,566.2422,0.5
19,0.1428,2.291421,0.0,,597.7001,0.5
20,0.1446,2.29084,0.0,,629.158,0.5
21,0.1466,2.290263,0.0,,660.6159,0.5
22,0.1487,2.289497,0.0,,692.0738,0.5
23,0.1491,2.288895,0.0,,723.5317,0.5
24,0.1514,2.288271,0.0,,754.9896,0.5
25,0.1538,2.287676,0.0,,786.4475,0.5
26,0.154,2.287106,0.0,,817.9054,0.5
27,0.1549,2.286493,0.0,,849.3633,0.5
28,0.1569,2.285926,0.0,,880.8212,0.5
29,0.1567,2.285444,0.0,,912.2791,0.5
30,0.1565,2.284855,0.0,,943.737,0.5
31,0.1581,2.284329,0.0,,975.1949,0.5
32,0.1588,2.283847,0.0,,1006.6528,0.5
33,0.1599,2.283376,0.0,,1038.1107,0.5
34,0.1625,2.282805,0.0,,1069.5686,0.5
35,0.1636,2.282317,0.0,,1101.0265,0.5
36,0.1644,2.281846,0.0,,1132.4844,0.5
37,0.1672,2.281269,0.0,,1163.9423,0.5
38,0.1687,2.280738,0.0,,1195.4002,0.5
39,0.1708,2.280223,0.0,,1226.8581,0.5
40,0.1743,2.279784,0.0,,1258.316,0.5
41,0.1748,2.279211,0.0,,1289.7739,0.5
42,0.181,2.278783,0.0,,1321.2318,0.5
43,0.1833,2.278285,0.0,,1352.6897,0.5
44,0.187,2.277841,0.0,,1384.1476,0.5
45,0.194,2.277151,0.0,,1415.6055,0.5
46,0.2,2.276681,0.0,,1447.0634,0.5
47,0.2078,2.276092,0.0,,1478.5213,0.5
48,0.2141,2.275626,0.0,,1509.9792,0.5
49,0.2227,2.27501,0.0,,1541.4371,0.5
50,0.2304,2.274545,0.0,,1572.8951,0.5
51,0.2375,2.274169,0.0,,1604.353,0.5
52,0.2471,2.273753,0.0,,1635.8109,0.5
53,0.2579,2.273322,0.0,,1667.2688,0.5
54,0.2665,2.272901,0.0,,1698.7267,0.5
55,0.2769,2.272468,0.0,,1730.1846,0.5
56,0.2881,2.272082,0.0,,1761.6425,0.5
57,0.3027,2.271656,0.0,,1793.1004,0.5
58,0.3167,2.271266,0.0,,1824.5583,0.5
59,0.3307,2.27087,0.0,,1856.0162,0.5
60,0.3412,2.270507,0.0001,,1887.4741,0.5
61,0.3499,2.270103,0.0002,,1918.932,0.5
62,0.3597,2.269789,0.0002,,1950.3899,0.5
