round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.1,2.331782,,,170.1688,0.5
2,0.1989,2.057199,,,340.3377,0.5
3,0.3801,1.728388,,,510.5065,0.5
4,0.4896,1.36701,,,680.6754,0.5
5,0.4948,1.344844,,,850.8442,0.5
6,0.5571,1.186578,,,1021.013,0.5
7,0.6347,0.99363,,,1191.1819,0.5
8,0.6301,1.004781,,,1361.3507,0.5
9,0.6343,1.003398,,,1531.5195,0.5
10,0.6855,0.86317,,,1701.6884,0.5
11,0.7028,0.833005,,,1871.8572,0.5
12,0.6861,0.917353,,,2042.0261,0.5
13,0.7458,0.719175,,,2212.1949,0.5
14,0.7399,0.7365,,,2382.3637,0.5
15,0.766,0.66599,,,2552.5326,0.5
16,0.7693,0.682861,,,2722.7014,0.5
17,0.7618,0.68947,,,2892.8703,0.5
18,0.7244,0.811379,,,3063.0391,0.5
19,0.7701,0.651736,,,3233.2079,0.5
20,0.7895,0.604705,,,3403.3768,0.5
21,0.7847,0.61628,,,3573.5456,0.5
22,0.7992,0.577982,,,3743.7144,0.5
23,0.7916,0.598703,,,3913.8833,0.5
24,0.8093,0.561377,,24,4084.0521,0.5
25,0.8019,0.57202,,24,4254.221,0.5
26,0.7756,0.663681,,24,4424.3898,0.5
27,0.8079,0.563028,,24,4594.5586,0.5
28,0.8093,0.547142,,24,4764.7275,0.5
29,0.7758,0.648481,,24,4934.8963,0.5
30,0.8161,0.528098,,24,5105.0652,0.5
