round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.7006,1.285527,,,31.4579,0.5
2,0.7768,0.565119,,,62.9158,0.5
3,0.865,0.392595,,3,94.3737,0.5
4,0.8726,0.346091,,3,125.8316,0.5
5,0.8827,0.321145,,3,157.2895,0.5
6,0.874,0.362802,,3,188.7474,0.5
7,0.8906,0.315623,,3,220.2053,0.5
8,0.9035,0.272312,,3,251.6632,0.5
9,0.8839,0.342964,,3,283.1211,0.5
10,0.8955,0.293115,,3,314.579,0.5
11,0.8844,0.358128,,3,346.0369,0.5
12,0.8835,0.360981,,3,377.4948,0.5
13,0.8866,0.333499,,3,408.9527,0.5
14,0.9082,0.267996,,3,440.4106,0.5
15,0.899,0.303754,,3,471.8685,0.5
16,0.9085,0.261209,,3,503.3264,0.5
17,0.9048,0.291986,,3,534.7843,0.5
18,0.9063,0.295242,,3,566.2422,0.5
19,0.9072,0.287858,,3,597.7001,0.5
20,0.9083,0.263547,,3,629.158,0.5
21,0.906,0.298209,,3,660.6159,0.5
22,0.9167,0.263288,,3,692.0738,0.5
23,0.9141,0.261086,,3,723.5317,0.5
24,0.9155,0.277897,,3,754.9896,0.5
25,0.8942,0.348115,,3,786.4475,0.5
26,0.9108,0.270873,,3,817.9054,0.5
27,0.9104,0.294481,,3,849.3633,0.5
28,0.8991,0.366436,,3,880.8212,0.5
29,0.9124,0.275308,,3,912.2791,0.5
30,0.9077,0.316687,,3,943.737,0.5
