round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.8836,0.934189,,1,31.4579,0.5
2,0.9771,0.07942,,1,62.9158,0.5
3,0.9864,0.045992,,1,94.3737,0.5
4,0.9882,0.039249,,1,125.8316,0.5
5,0.9878,0.037358,,1,157.2895,0.5
6,0.9886,0.035491,,1,188.7474,0.5
7,0.9891,0.034459,,1,220.2053,0.5
8,0.9881,0.038383,,1,251.6632,0.5
9,0.991,0.027496,,1,283.1211,0.5
10,0.9915,0.027371,,1,314.579,0.5
11,0.9922,0.02562,,1,346.0369,0.5
12,0.9916,0.026842,,1,377.4948,0.5
13,0.9911,0.02757,,1,408.9527,0.5
14,0.9902,0.031849,,1,440.4106,0.5
15,0.9912,0.029407,,1,471.8685,0.5
16,0.992,0.025598,,1,503.3264,0.5
17,0.9923,0.023865,,1,534.7843,0.5
18,0.9915,0.026719,,1,566.2422,0.5
19,0.9922,0.025846,,1,597.7001,0.5
20,0.992,0.02651,,1,629.158,0.5
21,0.993,0.023181,,1,660.6159,0.5
22,0.9921,0.025715,,1,692.0738,0.5
23,0.9922,0.025665,,1,723.5317,0.5
24,0.99,0.033883,,1,754.9896,0.5
25,0.9931,0.024922,,1,786.4475,0.5
26,0.993,0.025161,,1,817.9054,0.5
27,0.9923,0.026004,,1,849.3633,0.5
28,0.9924,0.027005,,1,880.8212,0.5
29,0.9925,0.026202,,1,912.2791,0.5
30,0.9928,0.025506,,1,943.737,0.5
31,0.992,0.027153,,1,975.1949,0.5
32,0.9931,0.02404,,1,1006.6528,0.5
33,0.9922,0.027936,,1,1038.1107,0.5
34,0.9937,0.022288,,1,1069.5686,0.5
35,0.9935,0.02491,,1,1101.0265,0.5
36,0.9935,0.025251,,1,1132.4844,0.5
37,0.9935,0.024676,,1,1163.9423,0.5
38,0.9929,0.025307,,1,1195.4002,0.5
39,0.9927,0.026469,,1,1226.8581,0.5
40,0.9931,0.024762,,1,1258.316,0.5
41,0.9933,0.023728,,1,1289.7739,0.5
42,0.9922,0.030594,,1,1321.2318,0.5
43,0.9907,0.034192,,1,1352.6897,0.5
44,0.9936,0.023595,,1,1384.1476,0.5
45,0.9929,0.023141,,1,1415.6055,0.5
46,0.9928,0.026169,,1,1447.0634,0.5
47,0.9936,0.022574,,1,1478.5213,0.5
48,0.9928,0.025541,,1,1509.9792,0.5
49,0.9918,0.028927,,1,1541.4371,0.5
50,0.9923,0.029134,,1,1572.8951,0.5
51,0.9933,0.024336,,1,1604.353,0.5
52,0.9931,0.025418,,1,1635.8109,0.5
53,0.9935,0.025716,,1,1667.2688,0.5
54,0.9925,0.028259,,1,1698.7267,0.5
55,0.9924,0.028703,,1,1730.1846,0.5
56,0.9937,0.026345,,1,1761.6425,0.5
57,0.9923,0.030706,,1,1793.1004,0.5
58,0.9925,0.028375,,1,1824.5583,0.5
59,0.9936,0.025233,,1,1856.0162,0.5
60,0.9931,0.027377,,1,1887.4741,0.5
61,0.9934,0.02514,,1,1918.932,0.5
62,0.9937,0.024243,,1,1950.3899,0.5
63,0.9912,0.036507,,1,1981.8478,0.5
64,0.9934,0.025039,,1,2013.3057,0.5
65,0.9933,0.025339,,1,2044.7636,0.5
66,0.9935,0.026113,,1,2076.2215,0.5
67,0.9934,0.02648,,1,2107.6794,0.5
68,0.9923,0.0328,,1,2139.1373,0.5
69,0.9943,0.023134,,1,2170.5952,0.5
70,0.9941,0.024387,,1,2202.0531,0.5
71,0.993,0.029175,,1,2233.511,0.5
72,0.9936,0.025911,,1,2264.9689,0.5
73,0.9929,0.026642,,1,2296.4268,0.5
74,0.9935,0.026969,,1,2327.8847,0.5
75,0.9937,0.026855,,1,2359.3426,0.5
76,0.9929,0.030095,,1,2390.8005,0.5
77,0.9935,0.025648,,1,2422.2584,0.5
78,0.994,0.028418,,1,2453.7163,0.5
79,0.9918,0.032608,,1,2485.1742,0.5
80,0.9934,0.026084,,1,2516.6321,0.5
81,0.9929,0.027069,,1,2548.09,0.5
82,0.9937,0.026498,,1,2579.5479,0.5
83,0.9918,0.033673,,1,2611.0058,0.5
84,0.9936,0.026513,,1,2642.4637,0.5
85,0.993,0.027774,,1,2673.9216,0.5
86,0.9926,0.029505,,1,2705.3795,0.5
87,0.9934,0.026167,,1,2736.8374,0.5
88,0.9929,0.029045,,1,2768.2953,0.5
89,0.994,0.025757,,1,2799.7532,0.5
90,0.9935,0.025035,,1,2831.2111,0.5
91,0.9929,0.030396,,1,2862.669,0.5
92,0.9936,0.026931,,1,2894.1269,0.5
93,0.9932,0.027408,,1,2925.5848,0.5
94,0.9936,0.028285,,1,2957.0427,0.5
95,0.9938,0.029076,,1,2988.5006,0.5
96,0.9927,0.030111,,1,3019.9585,0.5
97,0.9927,0.034181,,1,3051.4164,0.5
98,0.9932,0.031072,,1,3082.8743,0.5
99,0.9927,0.030794,,1,3114.3322,0.5
100,0.9937,0.026387,,1,3145.7901,0.5
