round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.9425,0.730216,,1,31.4579,1
2,0.9855,0.050246,,1,62.9158,1
3,0.9878,0.040057,,1,94.3737,1
4,0.9894,0.034295,,1,125.8316,1
5,0.9898,0.030272,,1,157.2895,1
6,0.9907,0.030199,,1,188.7474,1
7,0.9914,0.027903,,1,220.2053,1
8,0.9917,0.025709,,1,251.6632,1
9,0.992,0.02847,,1,283.1211,1
10,0.9922,0.025839,,1,314.579,1
11,0.9923,0.027756,,1,346.0369,1
12,0.9919,0.027496,,1,377.4948,1
13,0.9929,0.025643,,1,408.9527,1
14,0.9927,0.023052,,1,440.4106,1
15,0.9936,0.022556,,1,471.8685,1
16,0.992,0.024841,,1,503.3264,1
17,0.9932,0.024034,,1,534.7843,1
18,0.9932,0.02441,,1,566.2422,1
19,0.9936,0.023216,,1,597.7001,1
20,0.993,0.022986,,1,629.158,1
21,0.9938,0.023304,,1,660.6159,1
22,0.9933,0.022363,,1,692.0738,1
23,0.9933,0.021929,,1,723.5317,1
24,0.9936,0.02288,,1,754.9896,1
25,0.9935,0.022562,,1,786.4475,1
26,0.9941,0.021559,,1,817.9054,1
27,0.9931,0.022642,,1,849.3633,1
28,0.994,0.02295,,1,880.8212,1
29,0.9931,0.023076,,1,912.2791,1
30,0.9934,0.024031,,1,943.737,1
