round,global_accuracy,global_loss,attack_success_rate,convergence_round,comm_cost_mb,alpha
1,0.9731,0.390391,,1,31.4579,iid
2,0.986,0.042371,,1,62.9158,iid
3,0.9885,0.032219,,1,94.3737,iid
4,0.991,0.029366,,1,125.8316,iid
5,0.992,0.027302,,1,157.2895,iid
6,0.9917,0.025343,,1,188.7474,iid
7,0.9924,0.02346,,1,220.2053,iid
8,0.9926,0.023493,,1,251.6632,iid
9,0.9929,0.022422,,1,283.1211,iid
10,0.9928,0.022566,,1,314.579,iid
11,0.992,0.024606,,1,346.0369,iid
12,0.9927,0.023963,,1,377.4948,iid
13,0.9931,0.022928,,1,408.9527,iid
14,0.9923,0.024454,,1,440.4106,iid
15,0.993,0.022381,,1,471.8685,iid
16,0.9938,0.021634,,1,503.3264,iid
17,0.9939,0.021591,,1,534.7843,iid
18,0.993,0.023334,,1,566.2422,iid
19,0.994,0.02125,,1,597.7001,iid
20,0.9932,0.021863,,1,629.158,iid
21,0.9941,0.021647,,1,660.6159,iid
22,0.9938,0.021192,,1,692.0738,iid
23,0.9934,0.02201,,1,723.5317,iid
24,0.9939,0.021441,,1,754.9896,iid
25,0.9946,0.021144,,1,786.4475,iid
26,0.9945,0.020217,,1,817.9054,iid
27,0.9943,0.020122,,1,849.3633,iid
28,0.9938,0.023044,,1,880.8212,iid
29,0.9937,0.021728,,1,912.2791,iid
30,0.9944,0.021404,,1,943.737,iid
